Million Plus Cities,Cause category,Cause Subcategory,Outcome of Incident,Count,Outlier_IQR,Z_score,Outlier_Z,Count_capped
Agra,Traffic Control,Flashing Signal/Blinker,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Flashing Signal/Blinker,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Flashing Signal/Blinker,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Flashing Signal/Blinker,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Others,Greviously Injured,175.0,False,0.25935735003132393,False,175.0
Agra,Traffic Control,Others,Minor Injury,91.0,False,-0.045887073359206304,False,91.0
Agra,Traffic Control,Others,Persons Killed,373.0,True,0.9788620623090024,False,176.25
Agra,Traffic Control,Others,Total Injured,266.0,True,0.5900388087043984,False,176.25
Agra,Traffic Control,Others,Total number of Accidents,470.0,True,1.3313466940814005,False,176.25
Agra,Traffic Control,Police Controlled,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Police Controlled,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Police Controlled,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Police Controlled,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Police Controlled,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Stop Sign,Greviously Injured,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Stop Sign,Minor Injury,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Stop Sign,Persons Killed,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Stop Sign,Total Injured,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Stop Sign,Total number of Accidents,0.0,False,-0.37656853203228075,False,0.0
Agra,Traffic Control,Traffic Light Signal,Greviously Injured,30.0,False,-0.2675526665356628,False,30.0
Agra,Traffic Control,Traffic Light Signal,Minor Injury,37.0,False,-0.2421156312531186,False,37.0
Agra,Traffic Control,Traffic Light Signal,Persons Killed,18.0,False,-0.31115901273430996,False,18.0
Agra,Traffic Control,Traffic Light Signal,Total Injured,67.0,False,-0.13309976575650065,False,67.0
Agra,Traffic Control,Traffic Light Signal,Total number of Accidents,66.0,False,-0.13673362793972124,False,66.0
Agra,Traffic Control,Uncontrolled,Greviously Injured,172.0,False,0.24845576348166215,False,172.0
Agra,Traffic Control,Uncontrolled,Minor Injury,128.0,False,0.08856582741995582,False,128.0
Agra,Traffic Control,Uncontrolled,Persons Killed,123.0,False,0.07039651650385284,False,123.0
Agra,Traffic Control,Uncontrolled,Total Injured,300.0,True,0.7135901229338988,False,176.25
Agra,Traffic Control,Uncontrolled,Total number of Accidents,370.0,True,0.9679604757593406,False,176.25
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4.0,False,-0.3620330832993983,False,4.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,1.0,False,-0.37293466984906015,False,1.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Persons Killed,3.0,False,-0.3656669454826189,False,3.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total Injured,5.0,False,-0.3583992211161777,False,5.0
Ahmedabad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,8.0,False,-0.34749763456651594,False,8.0
Ahmedabad,Traffic Control,Others,Greviously Injured,229.0,True,0.45558590792523623,False,176.25
Ahmedabad,Traffic Control,Others,Minor Injury,122.0,False,0.06676265432063223,False,122.0
Ahmedabad,Traffic Control,Others,Persons Killed,166.0,False,0.22665259038233856,False,166.0
Ahmedabad,Traffic Control,Others,Total Injured,351.0,True,0.8989170942781493,False,176.25
Ahmedabad,Traffic Control,Others,Total number of Accidents,642.0,True,1.9563709895953434,False,176.25
Ahmedabad,Traffic Control,Police Controlled,Greviously Injured,11.0,False,-0.33659604801685417,False,11.0
Ahmedabad,Traffic Control,Police Controlled,Minor Injury,13.0,False,-0.329328323650413,False,13.0
Ahmedabad,Traffic Control,Police Controlled,Persons Killed,13.0,False,-0.329328323650413,False,13.0
Ahmedabad,Traffic Control,Police Controlled,Total Injured,24.0,False,-0.2893558396349864,False,24.0
Ahmedabad,Traffic Control,Police Controlled,Total number of Accidents,35.0,False,-0.2493833556195598,False,35.0
Ahmedabad,Traffic Control,Stop Sign,Greviously Injured,3.0,False,-0.3656669454826189,False,3.0
Ahmedabad,Traffic Control,Stop Sign,Minor Injury,2.0,False,-0.36930080766583956,False,2.0
Ahmedabad,Traffic Control,Stop Sign,Persons Killed,3.0,False,-0.3656669454826189,False,3.0
Ahmedabad,Traffic Control,Stop Sign,Total Injured,5.0,False,-0.3583992211161777,False,5.0
Ahmedabad,Traffic Control,Stop Sign,Total number of Accidents,8.0,False,-0.34749763456651594,False,8.0
Ahmedabad,Traffic Control,Traffic Light Signal,Greviously Injured,41.0,False,-0.2275801825202362,False,41.0
Ahmedabad,Traffic Control,Traffic Light Signal,Minor Injury,9.0,False,-0.34386377238329535,False,9.0
Ahmedabad,Traffic Control,Traffic Light Signal,Persons Killed,14.0,False,-0.32569446146719233,False,14.0
Ahmedabad,Traffic Control,Traffic Light Signal,Total Injured,50.0,False,-0.19487542287125081,False,50.0
Ahmedabad,Traffic Control,Traffic Light Signal,Total number of Accidents,58.0,False,-0.16580452540548604,False,58.0
Ahmedabad,Traffic Control,Uncontrolled,Greviously Injured,188.0,True,0.3065975584131917,False,176.25
Ahmedabad,Traffic Control,Uncontrolled,Minor Injury,163.0,False,0.21575100383267676,False,163.0
Ahmedabad,Traffic Control,Uncontrolled,Persons Killed,141.0,False,0.1358060358018236,False,141.0
Ahmedabad,Traffic Control,Uncontrolled,Total Injured,351.0,True,0.8989170942781493,False,176.25
Ahmedabad,Traffic Control,Uncontrolled,Total number of Accidents,434.0,True,1.200527655485459,False,176.25
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Greviously Injured,26.0,False,-0.28208811526854516,False,26.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Minor Injury,49.0,False,-0.19850928505447143,False,49.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Persons Killed,39.0,False,-0.2348479068866774,False,39.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Total Injured,75.0,False,-0.10402886829073588,False,75.0
Allahabad(Prayagraj),Traffic Control,Flashing Signal/Blinker,Total number of Accidents,104.0,False,0.0013531350226614718,False,104.0
Allahabad(Prayagraj),Traffic Control,Others,Greviously Injured,9.0,False,-0.34386377238329535,False,9.0
Allahabad(Prayagraj),Traffic Control,Others,Minor Injury,338.0,True,0.8516768858962814,False,176.25
Allahabad(Prayagraj),Traffic Control,Others,Persons Killed,277.0,True,0.630011292719825,False,176.25
Allahabad(Prayagraj),Traffic Control,Others,Total Injured,347.0,True,0.8843816455452669,False,176.25
Allahabad(Prayagraj),Traffic Control,Others,Total number of Accidents,577.0,True,1.7201699476860044,False,176.25
Allahabad(Prayagraj),Traffic Control,Police Controlled,Greviously Injured,18.0,False,-0.31115901273430996,False,18.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Minor Injury,55.0,False,-0.17670611195514782,False,55.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Persons Killed,51.0,False,-0.19124156068803022,False,51.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Total Injured,73.0,False,-0.11129659265717706,False,73.0
Allahabad(Prayagraj),Traffic Control,Police Controlled,Total number of Accidents,101.0,False,-0.009548451527000323,False,101.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Greviously Injured,24.0,False,-0.2893558396349864,False,24.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Minor Injury,52.0,False,-0.18760769850480963,False,52.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Persons Killed,62.0,False,-0.15126907667260364,False,62.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Total Injured,76.0,False,-0.10039500610751527,False,76.0
Allahabad(Prayagraj),Traffic Control,Stop Sign,Total number of Accidents,127.0,False,0.08493196523673523,False,127.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Greviously Injured,22.0,False,-0.2966235640014276,False,22.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Minor Injury,61.0,False,-0.15490293885582423,False,61.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Persons Killed,45.0,False,-0.2130447337873538,False,45.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Total Injured,83.0,False,-0.07495797082497109,False,83.0
Allahabad(Prayagraj),Traffic Control,Traffic Light Signal,Total number of Accidents,124.0,False,0.07403037868707343,False,124.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Greviously Injured,22.0,False,-0.2966235640014276,False,22.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Minor Injury,56.0,False,-0.17307224977192723,False,56.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Persons Killed,43.0,False,-0.22031245815379502,False,43.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total Injured,78.0,False,-0.09312728174107408,False,78.0
Allahabad(Prayagraj),Traffic Control,Uncontrolled,Total number of Accidents,119.0,False,0.05586106777097044,False,119.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Greviously Injured,5.0,False,-0.3583992211161777,False,5.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Minor Injury,7.0,False,-0.35113149674973654,False,7.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Persons Killed,13.0,False,-0.329328323650413,False,13.0
Amritsar,Traffic Control,Flashing Signal/Blinker,Total Injured,12.0,False,-0.3329621858336336,False,12.0
